NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,CBO_type,RFC_type,NOC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,NOPK_project,NOCS_project,NOI_project,NOM_project,NOMNAMM_project,LOC_project,visibility_type,modifier_type,isStatic_type,NOPA_type,number_private_visibility_attributes,number_protected_visibility_attributes,is_smelly
20.0,10.0,13.0,26,9.0,14.0,10.0,27,6.0,1.0,2,35,129,13.0,16.0,20.0,26.0,23.0,2,10,3.0,11,4.0,6.0,25.0,13,15.0,141,1,7.0,1.0,22.0,7,16,99,12.0,2.0,17.0,24.0,2.0,23.0,true
1.0,11.0,14.0,0,1.0,5.0,8.0,9,17.0,0.0,0,92,142,3.0,16.0,24.0,20.0,1.0,9,2,11.0,8,21.0,16.0,17.0,33,24.0,78,24,0.0,21.0,12.0,36,35,136,6.0,10.0,23.0,24.0,4.0,5.0,false
12.0,1.0,17.0,33,4.0,10.0,17.0,28,26.0,23.0,1,85,98,9.0,16.0,18.0,22.0,4.0,0,3,17.0,8,13.0,6.0,4.0,32,26.0,120,13,1.0,5.0,23.0,8,21,81,23.0,3.0,9.0,8.0,17.0,19.0,false
9.0,6.0,12.0,26,2.0,25.0,15.0,13,20.0,19.0,3,113,23,5.0,5.0,13.0,6.0,15.0,1,5,14.0,13,7.0,9.0,13.0,10,14.0,21,6,21.0,11.0,5.0,24,31,3,18.0,7.0,17.0,21.0,18.0,12.0,false
3.0,8.0,4.0,27,9.0,24.0,17.0,20,13.0,4.0,0,35,1,10.0,18.0,5.0,11.0,24.0,4,9,14.0,15,7.0,2.0,4.0,28,25.0,23,1,18.0,23.0,17.0,36,23,132,26.0,23.0,19.0,19.0,9.0,17.0,false
20.0,10.0,25.0,22,5.0,22.0,23.0,33,18.0,6.0,0,119,56,17.0,5.0,10.0,20.0,15.0,13,8,3.0,10,12.0,10.0,10.0,10,14.0,33,24,6.0,10.0,13.0,13,16,114,2.0,6.0,20.0,22.0,6.0,16.0,false
16.0,21.0,9.0,28,23.0,18.0,6.0,8,16.0,14.0,2,136,112,3.0,9.0,15.0,12.0,18.0,8,1,12.0,8,13.0,19.0,25.0,18,11.0,113,6,23.0,21.0,14.0,14,16,55,17.0,23.0,15.0,12.0,24.0,19.0,false
3.0,1.0,11.0,19,22.0,24.0,0.0,28,6.0,6.0,3,7,138,5.0,14.0,4.0,13.0,18.0,12,11,3.0,20,9.0,1.0,1.0,19,11.0,31,31,18.0,12.0,3.0,13,34,119,13.0,7.0,21.0,14.0,19.0,4.0,true
19.0,0.0,19.0,19,14.0,8.0,25.0,33,10.0,19.0,1,0,15,2.0,3.0,9.0,21.0,15.0,14,1,14.0,3,3.0,21.0,8.0,13,4.0,21,19,19.0,3.0,10.0,21,21,132,22.0,26.0,26.0,3.0,12.0,5.0,false
23.0,16.0,2.0,14,11.0,6.0,5.0,30,13.0,6.0,0,144,136,11.0,22.0,2.0,26.0,3.0,8,11,10.0,13,0.0,18.0,25.0,24,23.0,8,25,9.0,4.0,3.0,13,12,128,20.0,9.0,21.0,21.0,21.0,0.0,false
11.0,20.0,4.0,9,7.0,14.0,9.0,15,23.0,0.0,0,132,53,25.0,3.0,24.0,6.0,1.0,7,11,2.0,16,14.0,6.0,6.0,34,9.0,94,30,22.0,10.0,14.0,3,2,116,19.0,21.0,11.0,6.0,2.0,16.0,false
14.0,24.0,24.0,7,16.0,11.0,9.0,36,15.0,16.0,3,5,59,3.0,12.0,6.0,13.0,15.0,4,1,12.0,11,21.0,0.0,13.0,0,5.0,11,20,24.0,5.0,2.0,31,34,29,12.0,4.0,23.0,24.0,11.0,1.0,false
22.0,12.0,25.0,10,2.0,17.0,17.0,18,21.0,14.0,2,60,8,26.0,14.0,10.0,15.0,10.0,5,11,11.0,20,14.0,2.0,14.0,15,12.0,142,26,24.0,8.0,22.0,33,0,146,23.0,0.0,14.0,9.0,15.0,5.0,false
11.0,25.0,13.0,34,9.0,5.0,5.0,13,1.0,20.0,3,127,54,9.0,6.0,18.0,7.0,18.0,13,4,1.0,16,3.0,23.0,15.0,12,25.0,61,34,18.0,3.0,7.0,20,1,106,1.0,22.0,26.0,1.0,21.0,22.0,false
14.0,0.0,8.0,36,19.0,0.0,8.0,25,16.0,12.0,1,25,40,5.0,7.0,3.0,26.0,16.0,1,7,14.0,18,6.0,0.0,7.0,28,5.0,106,10,5.0,26.0,20.0,31,14,83,10.0,26.0,13.0,23.0,20.0,12.0,false
12.0,23.0,11.0,2,12.0,20.0,24.0,17,12.0,9.0,0,50,63,14.0,15.0,24.0,14.0,23.0,18,8,9.0,8,19.0,18.0,1.0,35,15.0,104,14,6.0,5.0,5.0,23,2,30,17.0,5.0,11.0,8.0,24.0,15.0,false
7.0,9.0,7.0,11,8.0,21.0,6.0,12,3.0,26.0,2,58,16,22.0,1.0,1.0,25.0,0.0,7,2,17.0,11,6.0,20.0,18.0,17,8.0,130,18,22.0,7.0,17.0,19,31,7,13.0,1.0,0.0,23.0,21.0,11.0,false
16.0,9.0,11.0,12,4.0,12.0,5.0,23,13.0,13.0,0,14,85,25.0,22.0,24.0,1.0,17.0,11,10,8.0,19,18.0,12.0,21.0,29,0.0,113,2,14.0,5.0,4.0,8,11,88,2.0,0.0,18.0,6.0,22.0,19.0,false
16.0,0.0,15.0,34,10.0,6.0,18.0,17,11.0,12.0,1,70,60,0.0,12.0,16.0,17.0,5.0,16,5,24.0,14,16.0,24.0,4.0,0,24.0,135,18,14.0,16.0,4.0,20,36,129,7.0,25.0,10.0,14.0,25.0,13.0,false
1.0,5.0,25.0,36,21.0,3.0,12.0,9,6.0,6.0,3,93,100,24.0,6.0,19.0,14.0,25.0,4,3,15.0,6,14.0,15.0,26.0,30,1.0,120,3,2.0,19.0,18.0,30,14,127,13.0,7.0,16.0,16.0,5.0,9.0,false
5.0,15.0,4.0,3,15.0,2.0,19.0,30,11.0,22.0,1,19,7,3.0,11.0,22.0,1.0,12.0,16,4,25.0,15,23.0,1.0,1.0,25,25.0,1,25,8.0,12.0,10.0,17,19,82,14.0,20.0,2.0,26.0,5.0,25.0,false
10.0,5.0,26.0,4,22.0,15.0,12.0,29,8.0,17.0,2,69,10,18.0,13.0,11.0,17.0,11.0,18,6,0.0,14,8.0,22.0,9.0,7,14.0,120,19,11.0,26.0,18.0,33,16,77,16.0,23.0,10.0,11.0,24.0,15.0,false
15.0,22.0,10.0,34,12.0,3.0,11.0,5,7.0,0.0,1,147,114,20.0,23.0,8.0,14.0,24.0,7,2,21.0,20,4.0,23.0,22.0,14,4.0,1,34,10.0,3.0,6.0,28,35,126,15.0,15.0,0.0,0.0,16.0,26.0,false
9.0,16.0,25.0,3,17.0,0.0,20.0,26,2.0,5.0,3,60,34,16.0,15.0,14.0,11.0,0.0,14,4,12.0,20,15.0,6.0,14.0,18,4.0,79,15,23.0,19.0,13.0,21,0,52,17.0,21.0,9.0,14.0,5.0,11.0,false
20.0,11.0,23.0,3,9.0,18.0,17.0,34,15.0,5.0,2,127,105,20.0,14.0,5.0,18.0,21.0,1,10,13.0,18,13.0,0.0,2.0,11,16.0,39,9,26.0,19.0,15.0,0,29,74,7.0,11.0,5.0,4.0,20.0,18.0,false
5.0,6.0,7.0,31,1.0,19.0,16.0,21,6.0,21.0,3,101,54,4.0,15.0,19.0,22.0,11.0,5,11,2.0,2,15.0,11.0,24.0,33,20.0,3,19,5.0,2.0,2.0,22,26,109,22.0,25.0,24.0,18.0,16.0,25.0,false
5.0,12.0,18.0,5,21.0,0.0,14.0,14,22.0,15.0,1,108,110,4.0,11.0,7.0,14.0,21.0,3,7,22.0,16,0.0,5.0,13.0,19,14.0,103,12,18.0,22.0,1.0,2,7,76,21.0,16.0,2.0,2.0,26.0,11.0,false
24.0,13.0,0.0,16,16.0,7.0,9.0,1,23.0,20.0,1,35,11,12.0,1.0,5.0,5.0,6.0,12,10,11.0,11,5.0,22.0,3.0,9,26.0,56,24,24.0,0.0,26.0,36,12,104,23.0,25.0,17.0,7.0,16.0,4.0,false
21.0,24.0,12.0,15,26.0,26.0,16.0,20,5.0,20.0,0,13,86,11.0,6.0,6.0,16.0,26.0,7,3,8.0,18,12.0,0.0,23.0,0,4.0,13,7,1.0,26.0,5.0,30,28,132,21.0,26.0,11.0,18.0,25.0,14.0,false
18.0,12.0,1.0,20,10.0,14.0,1.0,21,13.0,6.0,0,97,44,4.0,1.0,3.0,3.0,10.0,19,9,0.0,18,22.0,7.0,24.0,33,15.0,1,29,14.0,7.0,23.0,3,32,4,16.0,14.0,26.0,10.0,6.0,25.0,false
18.0,2.0,21.0,5,15.0,16.0,25.0,24,0.0,21.0,0,146,132,4.0,24.0,16.0,8.0,23.0,14,0,3.0,1,21.0,13.0,4.0,36,4.0,38,15,18.0,8.0,5.0,30,13,119,22.0,21.0,9.0,4.0,21.0,21.0,false
15.0,10.0,6.0,32,21.0,19.0,8.0,34,9.0,23.0,1,112,59,14.0,22.0,12.0,21.0,3.0,19,4,11.0,17,23.0,0.0,2.0,28,18.0,135,36,1.0,8.0,5.0,24,3,101,7.0,15.0,24.0,16.0,20.0,26.0,true
2.0,16.0,17.0,11,6.0,10.0,22.0,23,1.0,22.0,0,97,41,10.0,21.0,18.0,23.0,18.0,7,5,2.0,19,14.0,23.0,4.0,35,19.0,136,3,17.0,3.0,25.0,34,33,101,0.0,4.0,2.0,20.0,5.0,11.0,true
7.0,2.0,15.0,27,14.0,17.0,12.0,26,8.0,20.0,0,66,66,24.0,24.0,3.0,23.0,13.0,0,7,2.0,20,0.0,13.0,13.0,29,4.0,47,18,6.0,0.0,11.0,22,21,131,16.0,9.0,7.0,23.0,20.0,10.0,true
0.0,8.0,10.0,17,9.0,18.0,11.0,22,2.0,20.0,3,79,30,7.0,7.0,9.0,7.0,2.0,8,11,0.0,7,15.0,19.0,0.0,12,14.0,15,31,17.0,20.0,25.0,12,3,125,9.0,26.0,14.0,0.0,2.0,0.0,false
8.0,21.0,22.0,20,23.0,3.0,21.0,13,3.0,1.0,2,83,48,1.0,20.0,21.0,20.0,17.0,14,2,2.0,6,8.0,23.0,24.0,26,24.0,36,14,25.0,11.0,26.0,23,32,19,12.0,12.0,4.0,26.0,5.0,14.0,true
15.0,12.0,3.0,35,2.0,1.0,6.0,26,4.0,6.0,0,59,71,13.0,18.0,0.0,12.0,7.0,19,9,19.0,6,7.0,2.0,24.0,21,5.0,91,21,15.0,20.0,4.0,12,28,5,13.0,4.0,11.0,10.0,18.0,19.0,false
0.0,12.0,7.0,26,20.0,1.0,10.0,12,10.0,23.0,2,38,128,14.0,4.0,20.0,1.0,6.0,11,1,4.0,17,12.0,15.0,0.0,1,16.0,44,11,0.0,9.0,8.0,15,29,64,17.0,22.0,4.0,23.0,0.0,15.0,false
10.0,19.0,14.0,14,19.0,9.0,19.0,25,0.0,2.0,0,111,20,21.0,10.0,21.0,11.0,10.0,8,1,3.0,19,5.0,12.0,15.0,12,24.0,134,4,19.0,21.0,6.0,31,19,107,22.0,24.0,5.0,3.0,22.0,18.0,true
3.0,8.0,7.0,11,26.0,7.0,26.0,15,5.0,19.0,0,18,121,3.0,3.0,10.0,25.0,17.0,3,0,22.0,14,13.0,1.0,6.0,16,11.0,57,8,0.0,0.0,20.0,22,31,3,10.0,25.0,20.0,16.0,18.0,4.0,false
15.0,25.0,8.0,31,6.0,24.0,22.0,31,26.0,16.0,1,35,110,17.0,2.0,13.0,16.0,19.0,5,6,4.0,16,4.0,0.0,4.0,7,2.0,32,5,17.0,1.0,24.0,31,1,129,17.0,16.0,11.0,14.0,13.0,16.0,false
9.0,11.0,11.0,28,1.0,11.0,20.0,25,12.0,23.0,3,49,89,11.0,21.0,4.0,22.0,0.0,9,7,5.0,18,19.0,19.0,2.0,4,14.0,15,26,19.0,7.0,14.0,23,26,145,4.0,14.0,26.0,20.0,10.0,9.0,false
16.0,22.0,16.0,21,2.0,11.0,25.0,21,14.0,3.0,3,21,62,15.0,7.0,4.0,19.0,13.0,2,11,23.0,13,16.0,13.0,15.0,26,19.0,75,1,13.0,25.0,9.0,9,15,55,5.0,12.0,2.0,9.0,7.0,22.0,false
9.0,6.0,20.0,13,0.0,14.0,0.0,26,14.0,9.0,2,86,98,21.0,13.0,15.0,12.0,24.0,7,0,5.0,19,25.0,3.0,2.0,23,13.0,140,24,15.0,20.0,0.0,33,28,91,4.0,10.0,1.0,14.0,10.0,14.0,true
16.0,11.0,12.0,7,2.0,16.0,8.0,30,15.0,25.0,2,131,78,0.0,13.0,8.0,12.0,7.0,19,9,20.0,20,0.0,18.0,1.0,6,0.0,48,36,0.0,13.0,9.0,17,25,43,7.0,22.0,22.0,24.0,16.0,1.0,false
16.0,2.0,2.0,21,6.0,20.0,18.0,10,3.0,19.0,0,1,88,18.0,2.0,6.0,10.0,2.0,5,0,2.0,1,11.0,24.0,18.0,22,15.0,61,30,13.0,19.0,2.0,24,21,146,14.0,6.0,15.0,26.0,23.0,20.0,false
4.0,17.0,11.0,11,14.0,15.0,26.0,29,16.0,0.0,3,9,140,14.0,3.0,5.0,4.0,14.0,4,8,9.0,12,0.0,5.0,8.0,2,26.0,52,19,19.0,7.0,14.0,3,15,81,25.0,12.0,2.0,4.0,20.0,13.0,false
3.0,3.0,16.0,16,7.0,11.0,13.0,0,9.0,18.0,0,16,121,10.0,9.0,22.0,6.0,20.0,5,0,19.0,20,2.0,17.0,8.0,13,2.0,90,32,10.0,12.0,24.0,16,25,108,9.0,23.0,13.0,22.0,6.0,7.0,true
9.0,14.0,16.0,30,5.0,14.0,5.0,6,23.0,4.0,2,83,40,24.0,16.0,25.0,2.0,15.0,2,0,12.0,5,11.0,1.0,2.0,16,26.0,97,30,20.0,16.0,6.0,4,27,82,24.0,20.0,8.0,18.0,23.0,13.0,false
12.0,0.0,24.0,24,12.0,3.0,11.0,30,10.0,17.0,2,8,123,6.0,18.0,6.0,3.0,20.0,5,2,1.0,20,1.0,15.0,20.0,12,3.0,18,11,20.0,19.0,4.0,9,30,77,3.0,26.0,15.0,24.0,23.0,25.0,false
3.0,23.0,18.0,7,12.0,4.0,20.0,1,0.0,15.0,3,77,9,5.0,4.0,10.0,15.0,13.0,14,3,5.0,6,18.0,18.0,26.0,34,1.0,146,21,7.0,6.0,5.0,31,31,77,14.0,16.0,3.0,2.0,16.0,25.0,false
7.0,5.0,6.0,27,3.0,22.0,25.0,31,16.0,21.0,0,60,98,8.0,23.0,15.0,21.0,13.0,4,6,17.0,17,25.0,0.0,5.0,3,26.0,137,13,26.0,7.0,6.0,29,0,144,14.0,19.0,14.0,25.0,19.0,17.0,false
15.0,4.0,16.0,1,0.0,24.0,0.0,26,6.0,13.0,0,142,104,0.0,12.0,15.0,4.0,26.0,7,4,26.0,17,2.0,16.0,3.0,33,7.0,131,14,14.0,10.0,9.0,1,12,40,26.0,23.0,6.0,22.0,0.0,1.0,false
7.0,4.0,14.0,7,15.0,25.0,10.0,25,11.0,15.0,2,75,95,4.0,16.0,25.0,24.0,22.0,2,10,10.0,16,8.0,16.0,23.0,24,24.0,8,8,22.0,5.0,1.0,18,34,142,6.0,2.0,7.0,9.0,13.0,19.0,false
8.0,2.0,12.0,15,14.0,15.0,4.0,9,21.0,25.0,2,119,52,22.0,24.0,8.0,14.0,13.0,20,10,12.0,5,0.0,14.0,22.0,16,19.0,115,3,26.0,4.0,15.0,31,9,14,19.0,3.0,10.0,9.0,2.0,14.0,true
15.0,13.0,19.0,18,1.0,21.0,12.0,25,9.0,14.0,1,103,38,4.0,5.0,7.0,21.0,0.0,2,4,10.0,14,14.0,18.0,21.0,0,7.0,24,2,7.0,2.0,10.0,13,29,51,5.0,2.0,8.0,2.0,1.0,15.0,false
13.0,12.0,3.0,22,7.0,13.0,10.0,36,23.0,17.0,3,83,36,12.0,21.0,15.0,3.0,4.0,12,6,4.0,16,21.0,11.0,16.0,5,24.0,73,11,26.0,21.0,25.0,34,24,93,4.0,6.0,2.0,22.0,10.0,1.0,true
11.0,20.0,18.0,12,12.0,12.0,12.0,31,25.0,1.0,1,105,107,5.0,20.0,1.0,23.0,26.0,2,2,6.0,3,13.0,22.0,9.0,36,14.0,94,33,4.0,2.0,0.0,11,12,32,23.0,15.0,24.0,26.0,15.0,1.0,false
